latitude,longitude,Year,risk_score
28.132697,76.1697448,2013,162
27.9935177,77.0419634,2013,147
28.0599426,77.3223422,2013,177
30.6975401,76.8551066,2013,158
29.3912753,76.9771675,2013,226
28.1956468,76.6165179,2013,153
28.9010899,76.5801935,2013,163
29.6063041,74.9036568,2013,235
28.9953758,77.0233627,2013,178
30.1231349,77.286329,2013,260
31.3380959,76.7611631,2013,88
32.6923316,76.1631552,2013,63
31.6539865,76.5403633,2013,54
32.0768665,76.2985872,2013,186
31.593013,78.3281417,2013,16
31.9578974,77.1089232,2013,99
32.5015861,77.5789891,2013,1
31.6516617,77.0092542,2013,140
31.1041526,77.1709729,2013,135
30.6991321,77.4465304,2013,76
30.9077569,77.1023645,2013,50
31.5834642,76.2351452,2013,77
33.7278492,75.1502108,2013,236
33.9218492,75.0144663,2013,37
34.4232433,74.635965,2013,105
34.2086903,74.343498,2013,246
33.9098746,74.6270357,2013,98
34.0714255,74.8032176,2013,0
34.0714255,74.8032176,2013,0
33.13261,75.5890079,2013,106
34.2099313,74.7769273,2013,97
34.3993139,74.2827396,2013,115
32.7185614,74.8580917,2013,218
32.7045476,74.871206,2013,2
32.3901836,75.5251452,2013,81
33.3107908,75.7694213,2013,40
33.6446899,75.0188432,2013,209
34.5140696,74.191367,2013,117
34.163656,77.5840148,2013,4
33.7670004,74.0957143,2013,89
33.87836,74.899965,2013,57
32.7067837,74.8806455,2013,1
33.3772495,74.3132332,2013,134
33.2116371,75.2050989,2013,55
33.0691032,74.8378698,2013,35
32.5759118,75.1203446,2013,36
33.7207837,74.7714244,2013,49
34.2929452,74.4550203,2013,112
34.0747444,74.8204443,2013,374
32.9219726,75.1331482,2013,63
23.6991279,85.9910689,2013,144
22.5483518,85.8188876,2013,140
24.1062316,84.8623379,2013,66
24.4898318,86.6990182,2013,131
23.7952809,86.4309638,2013,215
24.2677937,87.2485495,2013,82
24.053577,83.6526818,2013,114
24.3314546,86.1548117,2013,106
24.8645886,87.2984838,2013,72
23.1603759,84.4599565,2013,108
24.0866962,85.4912231,2013,160
22.8015194,86.2029579,2013,252
23.9801639,86.9243637,2013,62
22.9281801,85.2814475,2013,24
24.4931239,85.5560811,2013,65
23.6880057,84.4969551,2013,56
24.5325908,87.593232,2013,84
24.2212983,84.1725565,2013,73
23.693479,85.5215989,2013,89
23.3700501,85.3250387,2013,152
25.0320437,87.691764,2013,241
22.7464225,85.9168929,2013,90
22.5904573,84.5464805,2013,58
16.1793224,75.6999315,2013,127
13.0010872,77.3361225,2013,272
15.8572666,74.5069343,2013,332
15.1430224,76.9173277,2013,158
18.0207297,77.2487204,2013,131
16.8269911,75.7175387,2013,143
11.8073312,76.6923569,2013,126
14.3049174,76.5296667,2013,236
12.8827367,75.0309089,2013,101
14.2558835,75.8303421,2013,221
15.4719606,74.9893498,2013,52
15.416692,75.6815801,2013,68
17.3310003,76.8334228,2013,225
13.0301852,76.1744968,2013,290
14.7180267,75.3656423,2013,98
13.0812545,78.3588533,2013,43
12.3827332,75.6640715,2013,83
13.1805066,78.2669329,2013,54
15.5748238,76.3118494,2013,61
12.6368939,76.7275477,2013,316
12.8698101,74.8430082,2013,80
12.3120575,76.6587557,2013,101
16.0547194,76.9003647,2013,211
15.3552989,75.1459121,2013,4
12.6992524,77.244408,2013,203
14.0556502,75.2380553,2013,361
13.3400771,77.1006208,2013,259
13.5269784,74.8731879,2013,100
16.7670964,77.1403984,2013,162
12.9050231,77.5824102,2013,6302
9.5649344,76.5444815,2013,348
10.1000756,76.3574874,2013,316
9.8154785,76.9991599,2013,288
11.8763836,75.3737973,2013,263
12.4914722,74.9877613,2013,253
8.9989381,76.7732344,2013,377
9.6287383,76.6455326,2013,307
11.2552955,75.795782,2013,289
11.1068448,76.1099551,2013,376
10.7873691,76.4742172,2013,266
9.2780841,76.9737443,2013,236
9.9464242,76.3008895,2013,34
10.5214758,76.1899913,2013,331
8.6981873,76.8154234,2013,797
10.8942004,75.927851,2013,169
24.2363127,75.501862,2013,73
22.2859524,74.3545628,2013,57
23.0346179,81.7510255,2013,231
24.5792434,77.7279725,2013,228
21.8611589,80.3237105,2013,244
21.7514248,74.8915957,2013,166
21.8797472,77.8753651,2013,407
26.3518828,78.6863189,2013,223
23.2584857,77.401989,2013,632
21.3348669,76.3708803,2013,144
24.7606089,79.6781776,2013,335
22.2071897,78.798833,2013,532
23.7981005,79.5419356,2013,217
23.9348098,79.6440203,2013,111
22.8057498,76.2940408,2013,221
22.5786572,75.2258637,2013,488
22.9070871,80.8846924,2013,216
24.5001772,77.2600959,2013,285
26.2037247,78.1573628,2013,580
22.2427973,77.1179173,2013,86
22.7545538,77.7198249,2013,307
22.7203616,75.8681996,2013,847
23.1701522,79.9324505,2013,599
22.8869652,74.7243249,2013,182
23.7176393,80.2610181,2013,332
21.8203752,76.3555424,2013,377
21.8322667,75.6179653,2013,475
22.6871074,80.5816341,2013,206
24.2628148,75.385692,2013,244
26.3849794,77.8612721,2013,218
22.934556,79.0867849,2013,347
24.6305517,75.1829,2013,174
24.4498931,80.1462723,2013,142
23.2675909,78.1727134,2013,351
23.8716706,76.7744703,2013,394
23.50222,74.9551534,2013,226
24.7560846,81.3810574,2013,321
23.8083076,78.758254,2013,612
24.6954445,80.7770348,2013,361
22.2748109,79.7202522,2013,244
23.3002343,81.364771,2013,427
23.4171001,76.6074794,2013,177
25.7499266,76.9212945,2013,83
25.3741215,77.8278866,2013,347
24.2112687,81.7000415,2013,222
25.6724156,78.1043815,2013,247
24.2431343,82.3827672,2013,227
24.8552105,79.0472546,2013,241
23.1885131,75.7716562,2013,380
23.8699867,79.5527381,2013,146
23.8463003,77.8370209,2013,473
19.1627725,74.8580243,2013,402
20.7618123,77.1921157,2013,270
21.1528838,79.0024955,2013,440
19.8993677,75.3530128,2013,218
18.9918442,75.909784,2013,374
21.1225869,79.794509,2013,127
20.562845,76.4086986,2013,256
20.0967555,79.5045475,2013,292
21.1305215,74.4900614,2013,123
19.7590704,80.1622807,2013,91
21.455228,80.1962729,2013,167
19.5431163,77.1739432,2013,82
20.8428826,75.5261246,2013,349
19.918833,75.8708599,2013,196
16.7028412,74.2405329,2013,244
18.3553347,76.7548997,2013,191
21.138207,78.8107311,2013,253
19.0940088,77.4831922,2013,247
21.5141622,74.5405513,2013,86
19.0308262,73.0198537,2013,243
18.2822454,76.0588166,2013,201
19.2901981,76.6026443,2013,209
18.5431042,73.8222985,2013,503
18.4928092,73.138071,2013,148
17.2826079,73.4569787,2013,117
17.1726928,74.5867654,2013,251
17.6361288,74.2982781,2013,432
16.1357193,73.6522086,2013,66
20.8256231,78.6131455,2013,347
20.2874178,77.2369655,2013,200
20.0638677,78.3565663,2013,597
24.6267287,93.7600454,2013,14
24.3312009,94.0011081,2013,3
24.3468839,93.6994143,2013,5
24.8328129,94.0166864,2013,55
24.7590802,93.8617365,2013,102
25.3933697,94.1501773,2013,3
24.9858596,93.5039967,2013,3
24.6252503,94.0083522,2013,65
25.3110738,94.4753775,2013,6
25.6184946,90.6342162,2013,12
25.8619841,90.7017705,2013,6
25.347969,90.5657773,2013,10
25.444631,89.9969655,2013,16
25.6063142,90.2113906,2013,32
25.2515761,92.4840501,2013,18
25.4425965,92.2988275,2013,34
25.4023736,91.8317178,2013,98
25.3307221,91.3217388,2013,15
25.5814429,91.0851094,2013,30
25.8764026,91.8567574,2013,43
23.7433532,92.7382756,2013,75
23.6317319,93.3493185,2013,17
24.2312934,92.6766233,2013,17
